Name,Symbol,APIR Code,Morningstar Medalist Rating™,Analyst-Driven %,Data Coverage %,Medalist Rating Date,Morningstar ESG Risk Rating,Morningstar Category,Low Carbon Designation,Sustainable Investment (By Prospectus),Historical Corporate Sustainability Score,Historical Sovereign Sustainability Score,Corporate Sustainability Percent Rank,Portfolio Carbon Risk Score,Fossil Fuel % Covered Portfolio Involved,Alcohol(%),Animal Testing(%),Controversial Weapons(%),Tobacco(%),Gambling(%),Small Arms(%),Thermal Coal(%),1 Month Return (%),3 Months Return (%),6 Months Return (%),YTD Return (%),1 Year Annualised (%),3 Years Annualised (%),5 Years Annualised (%),10 Years Annualised (%),Investment Management Fee(%),TCR (P),Manager Tenure (Yrs),Fund Size (Mil),Equity StyleBox™,Fixed Income StyleBox™,Average Market Cap (Mil),Average Credit Quality,Effective Duration,Morningstar Rating,Morningstar Risk (Rel to Category),3 Year Alpha,3 Year Beta,3 Year R-Squared,3 Year Standard Deviation,3 Year Sharpe Ratio
MLC MK TAP - Ausbil Aus. Emrging Leaders,12383,MLC0633AU,Neutral,100.00,100.00,2025-03-31,2,Equity Australia Mid/Small Growth,No,No,,,,9.71,9.81,0,6.59,0,0,0,0.00,0.00,1.53,−5.37,−0.61,−1.22,6.27,3.74,14.14,7.65,0.95,1.23,20.08,1.08 ,Mid Growth,,,,,3,5,2.55,0.72,65.69,15.85,0.08
MLC MK TAP - IncomeBuilder,11830,MLC0589AU,,,,,4,Equity Australia Large Value,No,No,,,,9.97,15.01,9.05,5.52,0,0,0.96,0.00,3.13,1.94,−2.52,1.54,0.74,9.88,8.14,14.57,6.35,0.72,1.00,,,Large Value,,,,,3,2,1.46,0.81,88.72,11.57,0.42
MLC MK TAP - Investors Mutual Aus. Share,11842,MLC0590AU,Neutral,100.00,100.00,2025-03-31,3,Equity Australia Large Blend,No,No,,,,9.38,12.89,3.1,11.52,0,0,9.27,0.00,6.94,0.53,−0.83,2.74,0.93,8.81,6.05,10.07,5.80,0.94,1.22,15.33,26.66 ,Large Blend,,,,,1,1,0.03,0.63,77.39,9.63,0.27
MLC MK TAP - MLC - Platinum Global Fund,11834,MLC0592AU,Neutral,100.00,100.00,2025-03-31,3,Equity World Large Blend,Yes,No,,,,7.21,4.85,4.49,14.79,0,0,0,0.00,0.00,−3.10,−5.15,−3.42,−2.72,−2.50,6.72,7.09,5.58,1.16,1.44,0.17,366.22 ,Large Blend,,,,,1,2,−0.96,0.37,24.30,8.77,0.36
MLC MK TAP - Platinum International Fund,12385,MLC0641AU,Neutral,100.00,100.00,2025-03-31,3,Equity World Large Value,Yes,No,,,,7.21,4.85,4.49,14.79,0,0,0,0.00,0.00,−4.41,−5.02,−4.39,−3.25,−2.61,5.60,6.28,4.84,1.35,1.63,0.17,8.91 ,Large Blend,,,,,2,3,−0.36,0.22,8.70,8.72,0.24
MLC MK TAP - Schroder WS Aus. Equity,11847,MLC0598AU,Silver,100.00,100.00,2025-03-31,3,Equity Australia Large Blend,No,No,,,,10.62,21.22,1.25,4.97,0,0,0,0.00,8.27,−1.38,−3.29,0.02,−0.37,4.67,6.32,12.98,7.25,0.77,1.05,21.58,3.19 ,Large Value,,,,,3,3,−0.10,0.77,80.67,11.56,0.27
MLC MKBS - Altrinsic Global Eq Trust,19529,MLC0905AU,,,,,3,Equity World Large Value,Yes,No,,,,7.50,3.66,4.26,16.93,2.53,0,1.48,1.87,0.00,−2.25,−0.73,4.75,2.98,11.59,9.13,9.45,7.47,0.99,1.32,13.17,,Large Value,,,,,3,3,−0.23,0.51,47.03,8.63,0.63
MLC MKBS - Antares Elite Opportunities,19530,MLC0906AU,,,,,3,Equity Australia Large Blend,No,No,,,,10.68,22.15,3.22,14.7,0,0,7.34,0.00,13.04,−1.38,−8.66,−5.92,−6.52,0.02,2.61,10.23,6.06,0.70,1.11,,,Large Blend,,,,,1,4,−3.62,0.74,83.27,11.03,−0.05
MLC MKBS - Antares High Growth Shares,19531,MLC0907AU,,,,,2,Equity Australia Large Blend,No,No,,,,10.59,18.15,2.7,15.53,0,0,7.66,0.00,9.63,−1.80,−9.04,−8.03,−7.04,−1.31,2.66,11.13,6.82,1.00,1.42,,,Large Blend,,,,,2,5,−3.57,0.75,79.91,11.40,−0.04
MLC MKBS - Ausbil Aus. Emerging Leaders,12374,MLC0631AU,Neutral,100.00,100.00,2025-03-31,2,Equity Australia Mid/Small Growth,No,No,,,,9.71,9.81,0,6.59,0,0,0,0.00,0.00,1.43,−4.95,−0.59,−1.14,5.65,3.07,13.06,7.50,0.95,1.28,20.08,1.08 ,Mid Growth,,,,,3,4,1.62,0.66,65.34,14.68,0.03
MLC MKBS - Fairview Eq Ptnr Emg Comp,19532,MLC0908AU,Bronze,100.00,100.00,2025-03-31,1,Equity Australia Mid/Small Growth,No,No,,,,13.49,4.88,0,7.05,0,0,1.77,0.00,2.06,3.08,−3.38,1.99,1.46,8.57,4.03,10.58,8.69,1.20,2.38,12.67,,Small Growth,,,,,3,3,3.03,0.85,92.85,15.70,0.09
MLC MKBS - IncomeBuilder,4689,MLC0249AU,,,,,4,Equity Australia Large Value,No,No,,,,9.97,15.01,9.05,5.52,0,0,0.96,0.00,3.13,1.75,−2.36,1.29,0.62,8.67,6.96,12.96,5.92,0.72,1.05,,356.17 ,Large Value,,,,,4,3,0.54,0.74,88.89,10.55,0.34
MLC MKBS - Investors Mutual Aus. Share,10760,MLC0466AU,Neutral,100.00,100.00,2025-03-31,3,Equity Australia Large Blend,No,No,,,,9.38,12.89,3.1,11.52,0,0,9.27,0.00,6.94,0.51,−0.72,2.55,0.86,8.05,5.28,9.25,5.71,0.94,1.27,15.33,26.66 ,Large Blend,,,,,2,1,−0.55,0.58,77.43,8.84,0.21
MLC MKBS - MLC - Platinum Global Fund,9373,MLC0384AU,Neutral,100.00,100.00,2025-03-31,3,Equity World Large Blend,Yes,No,,,,7.21,4.85,4.49,14.79,0,0,0,0.00,0.00,−2.85,−4.77,−3.26,−2.56,−2.50,6.03,6.54,5.53,1.16,1.49,0.17,366.22 ,Large Blend,,,,,1,2,−1.23,0.33,23.65,7.91,0.31
MLC MKBS - Platinum International Fund,12376,MLC0636AU,Neutral,100.00,100.00,2025-03-31,3,Equity World Large Value,Yes,No,,,,7.21,4.85,4.49,14.79,0,0,0,0.00,0.00,−4.06,−4.68,−4.16,−3.07,−2.57,4.83,5.78,4.95,1.35,1.53,0.17,8.91 ,Large Blend,,,,,2,3,−0.95,0.20,8.89,7.93,0.17
MLC MKBS - Schroder WS Australian Equity,10763,MLC0469AU,Bronze,100.00,100.00,2025-03-31,3,Equity Australia Large Blend,No,No,,,,10.62,21.22,1.25,4.97,0,0,0,0.00,8.27,−1.31,−3.04,−0.13,−0.48,3.97,5.21,11.63,6.78,0.77,1.10,21.58,3.19 ,Large Value,,,,,2,3,−0.98,0.70,81.50,10.46,0.18
MLC MKey Super GS Own Trustee - Australian Share,41338,MLC9097AU,Bronze,100.00,100.00,2025-03-31,3,Equity Australia Large Blend,No,No,,,,9.83,16.78,1.58,11.78,0,0,2.62,0.00,9.06,−0.62,−5.95,−2.53,−3.70,4.13,5.30,10.68,6.57,0.59,0.69,12.17,,Large Blend,,,,,2,3,−1.24,0.80,92.72,11.29,0.19
MLC MKey Super GS Own Trustee - Cash Fund,41339,MLC9098AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,0.25,0.65,1.53,1.04,3.00,2.23,1.36,0.68,0.17,0.17,,,,,,,,,,−1.43,0.31,5.00,0.29,−12.39
MLC MKey Super GS Own Trustee - Global Share Fund,41341,MLC9100AU,,,,,3,Equity World Large Blend,No,No,,,,7.43,9.35,1.26,19.14,0.45,0,0.21,1.20,1.01,−1.04,−6.54,0.70,−3.53,8.82,10.92,11.09,8.20,0.74,0.79,,,Large Blend,,,,,3,3,−0.53,0.68,81.02,8.89,0.80
MLC MKey Super GS Own Trustee-Property Securities,41343,MLC9102AU,,,,,5,Equity Australia Real Estate,Yes,No,,,,6.65,0.00,0,0,0,0,0,0.00,0.00,5.74,−3.89,−3.17,−0.15,8.63,4.55,10.77,6.01,0.63,0.69,,,Mid Value,,,,,3,3,−0.70,0.86,99.72,20.31,0.14
MLC MKey Super GS Own Trustee - Vngrd Aus Sh Index,41342,MLC9101AU,Bronze,100.00,100.00,2025-03-31,3,Equity Australia Large Blend,No,No,,,,9.87,19.03,0.72,8.27,0,0,2.51,0.00,8.82,3.15,−3.61,0.55,0.19,7.58,6.19,10.53,6.35,0.24,0.24,12.17,,Large Blend,,,,,2,4,−0.66,0.89,99.66,12.06,0.25
MLC MKPF - Altrinsic Global Eq Trust,19377,MLC0900AU,,,,,3,Equity World Large Value,Yes,No,,,,7.50,3.66,4.26,16.93,2.53,0,1.48,1.87,0.00,−2.43,−0.72,5.38,3.38,12.69,10.10,10.26,8.07,0.99,1.32,13.17,,Large Value,,,,,3,3,0.21,0.55,46.78,9.45,0.68
MLC MKPF - Antares Elite Opportunities,19375,MLC0898AU,,,,,3,Equity Australia Large Blend,No,No,,,,10.68,22.15,3.22,14.7,0,0,7.34,0.00,13.04,−1.49,−9.43,−6.41,−7.07,0.25,3.36,11.83,7.04,0.70,1.03,,,Large Blend,,,,,1,4,−3.09,0.83,83.50,12.22,0.03
MLC MKPF - Antares High Growth Shares,19376,MLC0899AU,,,,,2,Equity Australia Large Blend,No,No,,,,10.59,18.15,2.7,15.53,0,0,7.66,0.00,9.63,−1.76,−9.84,−8.57,−7.56,−1.01,3.84,13.31,8.27,1.00,1.42,,,Large Blend,,,,,3,5,−2.65,0.85,80.23,12.85,0.07
MLC MKPF - Ausbil Aus. Emerging Leaders,15696,MLC0791AU,Neutral,100.00,100.00,2025-03-31,2,Equity Australia Mid/Small Growth,No,No,,,,9.71,9.81,0,6.59,0,0,0,0.00,0.00,1.53,−5.37,−0.61,−1.22,6.27,3.74,14.43,8.38,0.95,1.28,20.08,1.08 ,Mid Growth,,,,,4,5,2.55,0.72,65.69,15.85,0.08
MLC MKPF - Fairview Eq Ptnr Emg Comp,19304,MLC0890AU,,,,,1,Equity Australia Mid/Small Growth,No,No,,,,13.49,4.88,0,7.05,0,0,1.77,0.00,2.06,7.54,15.71,,16.18,,,,,1.20,2.36,13.50,,Small Growth,,,,,,,,,,,
MLC MKPF - IncomeBuilder,15675,MLC0801AU,,,,,4,Equity Australia Large Value,No,No,,,,9.97,15.01,9.05,5.52,0,0,0.96,0.00,3.13,1.94,−2.52,1.54,0.74,9.88,8.14,14.85,6.99,0.72,1.05,,,Large Value,,,,,4,2,1.46,0.81,88.72,11.57,0.42
MLC MKPF - Investors Mutual Aus. Share,15693,MLC0802AU,Neutral,100.00,100.00,2025-03-31,3,Equity Australia Large Blend,No,No,,,,9.38,12.89,3.1,11.52,0,0,9.27,0.00,6.94,0.53,−0.83,2.74,0.93,8.81,6.05,10.31,6.41,0.94,1.27,15.33,26.66 ,Large Blend,,,,,2,1,0.03,0.63,77.39,9.63,0.27
MLC MKPF - MLC - Platinum Global Fund,15698,MLC0837AU,Neutral,100.00,100.00,2025-03-31,3,Equity World Large Blend,Yes,No,,,,7.21,4.85,4.49,14.79,0,0,0,0.00,0.00,−3.10,−5.15,−3.42,−2.72,−2.50,6.72,7.32,6.18,1.16,1.49,0.17,366.22 ,Large Blend,,,,,1,2,−0.96,0.37,24.30,8.77,0.36
MLC MKPF - Platinum International Fund,15688,MLC0811AU,Neutral,100.00,100.00,2025-03-31,3,Equity World Large Value,Yes,No,,,,7.21,4.85,4.49,14.79,0,0,0,0.00,0.00,−4.41,−5.02,−4.39,−3.25,−2.61,5.60,6.51,5.50,1.35,1.48,0.17,8.91 ,Large Blend,,,,,2,3,−0.36,0.22,8.70,8.72,0.24
MLC MKPF - Schroder WS Australian Equity,15686,MLC0814AU,Silver,100.00,100.00,2025-03-31,3,Equity Australia Large Blend,No,No,,,,10.62,21.22,1.25,4.97,0,0,0,0.00,8.27,−1.38,−3.29,0.02,−0.37,4.67,6.32,13.24,7.91,0.77,1.10,21.58,3.19 ,Large Value,,,,,3,3,−0.10,0.77,80.67,11.56,0.27
MLC MKPFPR - Altrinsic Global Eq Trust,42959,NUL3048AU,,,,,3,Equity World Large Value,Yes,No,,,,7.50,3.66,4.26,16.93,2.53,0,1.48,1.87,0.00,−2.22,−0.66,4.91,3.08,11.93,9.46,9.76,,0.99,1.27,7.00,,Large Value,,,,,3,2,0.07,0.51,47.03,8.63,0.67
MLC MKPFPR - Antares Elite Opportunities,42962,NUL7545AU,,,,,3,Equity Australia Large Blend,No,No,,,,10.68,22.15,3.22,14.7,0,0,7.34,0.00,13.04,−1.36,−8.59,−5.78,−6.43,0.32,2.92,10.54,,0.70,1.06,,,Large Blend,,,,,2,3,−3.32,0.74,83.27,11.03,−0.02
MLC MKPFPR - Antares High Growth Shares,42961,NUL2509AU,,,,,2,Equity Australia Large Blend,No,No,,,,10.59,18.15,2.7,15.53,0,0,7.66,0.00,9.63,−1.77,−8.97,−7.89,−6.95,−1.01,2.97,11.45,,1.00,1.37,,,Large Blend,,,,,2,4,−3.26,0.75,79.91,11.40,−0.01
MLC MKPFPR - Ausbil Aus. Emrging Leaders,42964,NUL0798AU,Neutral,100.00,100.00,2025-03-31,2,Equity Australia Mid/Small Growth,No,No,,,,9.71,9.81,0,6.59,0,0,0,0.00,0.00,1.46,−4.88,−0.44,−1.04,5.97,3.38,13.38,,0.95,1.23,7.00,,Mid Growth,,,,,5,4,1.92,0.66,65.34,14.68,0.05
MLC MKPFPR - Fairview Eq Ptnr Emg Comp,42967,NUL5616AU,Bronze,100.00,100.00,2025-03-31,1,Equity Australia Mid/Small Growth,No,No,,,,13.49,4.88,0,7.05,0,0,1.77,0.00,2.06,3.11,−3.31,2.14,1.56,8.90,4.35,10.90,,1.20,2.33,7.00,,Small Growth,,,,,4,3,3.33,0.85,92.85,15.70,0.11
MLC MKPFPR - IncomeBuilder,42987,NUL6612AU,,,,,4,Equity Australia Large Value,No,No,,,,9.97,15.01,9.05,5.52,0,0,0.96,0.00,3.13,1.78,−2.28,1.44,0.72,9.00,7.29,13.28,,0.72,1.00,,,Large Value,,,,,5,3,0.85,0.74,88.89,10.55,0.37
MLC MKPFPR - Investors Mutual Aus. Shre,42965,NUL2287AU,Neutral,100.00,100.00,2025-03-31,3,Equity Australia Large Blend,No,No,,,,9.38,12.89,3.1,11.52,0,0,9.27,0.00,6.94,0.53,−0.65,2.70,0.96,8.37,5.60,9.56,,0.94,1.22,7.00,,Large Blend,,,,,2,1,−0.25,0.58,77.44,8.84,0.24
MLC MKPFPR - MLC - Platinum Global Fund,43004,NUL3347AU,Neutral,100.00,100.00,2025-03-31,2,Equity World Large Blend,No,No,,,,8.07,5.13,2.06,7.03,0,0,3.37,1.31,0.00,−2.83,−4.70,−3.11,−2.47,−2.21,6.35,6.85,,1.16,1.44,0.17,,Large Blend,,,,,1,2,−0.92,0.33,23.65,7.91,0.35
MLC MKPFPR - Platinum International Fund,42975,NUL6546AU,Neutral,100.00,100.00,2025-03-31,3,Equity World Large Value,Yes,No,,,,7.21,4.85,4.49,14.79,0,0,0,0.00,0.00,−4.04,−4.61,−4.01,−2.98,−2.28,5.15,6.09,,1.35,1.63,0.17,,Large Blend,,,,,2,4,−0.65,0.20,8.89,7.94,0.20
MLC MKPFPR - Schroder WS Aus. Equity,42976,NUL8950AU,Silver,100.00,100.00,2025-03-31,3,Equity Australia Large Blend,No,No,,,,10.62,21.22,1.25,4.97,0,0,0,0.00,8.27,−1.28,−2.96,0.02,−0.38,4.29,5.53,11.95,,0.77,1.05,7.00,,Large Value,,,,,3,3,−0.68,0.70,81.51,10.46,0.21
MLC MKSF - Altrinsic Global Eq Trust,19374,MLC0897AU,,,,,3,Equity World Large Value,Yes,No,,,,7.50,3.66,4.26,16.93,2.53,0,1.48,1.87,0.00,−2.22,−0.66,4.91,3.08,11.93,9.46,9.76,7.73,0.99,1.37,13.17,,Large Value,,,,,3,3,0.07,0.51,47.03,8.63,0.67
MLC MKSF - Antares Elite Opportunities,19372,MLC0895AU,,,,,3,Equity Australia Large Blend,No,No,,,,10.68,22.15,3.22,14.7,0,0,7.34,0.00,13.04,−1.36,−8.59,−5.78,−6.43,0.32,2.92,10.54,6.32,0.70,1.08,,,Large Blend,,,,,1,4,−3.32,0.74,83.27,11.03,−0.02
MLC MKSF - Antares High Growth Shares,19373,MLC0896AU,,,,,2,Equity Australia Large Blend,No,No,,,,10.59,18.15,2.7,15.53,0,0,7.66,0.00,9.63,−1.77,−8.97,−7.89,−6.95,−1.01,2.97,11.45,7.08,1.00,1.47,,,Large Blend,,,,,2,5,−3.26,0.75,79.91,11.40,−0.01
MLC MKSF - Ausbil Aus. Emerging Leaders,14576,MLC0676AU,Neutral,100.00,100.00,2025-03-31,2,Equity Australia Mid/Small Growth,No,No,,,,9.71,9.81,0,6.59,0,0,0,0.00,0.00,1.46,−4.88,−0.44,−1.04,5.97,3.38,13.38,7.76,0.95,1.33,20.08,1.08 ,Mid Growth,,,,,3,4,1.92,0.66,65.34,14.68,0.05
MLC MKSF - Fairview Eq Ptnr Emg Comp,19303,MLC0889AU,Bronze,100.00,100.00,2025-03-31,1,Equity Australia Mid/Small Growth,No,No,,,,13.49,4.88,0,7.05,0,0,1.77,0.00,2.06,3.11,−3.31,2.14,1.56,8.90,4.35,10.90,8.96,1.20,2.43,13.50,,Small Growth,,,,,4,4,3.33,0.85,92.85,15.70,0.11
MLC MKSF - IncomeBuilder,14586,MLC0686AU,,,,,4,Equity Australia Large Value,No,No,,,,9.97,15.01,9.05,5.52,0,0,0.96,0.00,3.13,1.78,−2.28,1.44,0.72,9.00,7.29,13.28,6.19,0.72,1.10,,356.17 ,Large Value,,,,,4,3,0.85,0.74,88.89,10.55,0.37
MLC MKSF - Investors Mutual Aus. Share,14587,MLC0687AU,Neutral,100.00,100.00,2025-03-31,3,Equity Australia Large Blend,No,No,,,,9.38,12.89,3.1,11.52,0,0,9.27,0.00,6.94,0.53,−0.65,2.70,0.96,8.37,5.60,9.56,5.97,0.94,1.32,15.33,26.66 ,Large Blend,,,,,2,1,−0.25,0.58,77.44,8.84,0.24
MLC MKSF - MLC - Platinum Global Fund,18429,MLC0838AU,Neutral,100.00,100.00,2025-03-31,2,Equity World Large Blend,No,No,,,,8.07,5.13,2.06,7.03,0,0,3.37,1.31,0.00,−2.83,−4.70,−3.11,−2.47,−2.21,6.35,6.85,5.79,1.16,1.54,0.17,,Large Blend,,,,,1,2,−0.92,0.33,23.65,7.91,0.35
MLC MKSF - Platinum International Fund,14596,MLC0696AU,Neutral,100.00,100.00,2025-03-31,3,Equity World Large Value,Yes,No,,,,7.21,4.85,4.49,14.79,0,0,0,0.00,0.00,−4.04,−4.61,−4.01,−2.98,−2.28,5.15,6.09,5.20,1.35,1.53,0.17,8.91 ,Large Blend,,,,,2,3,−0.65,0.20,8.89,7.94,0.20
MLC MKSF - Schroder WS Australian Equity,14599,MLC0699AU,Bronze,100.00,100.00,2025-03-31,3,Equity Australia Large Blend,No,No,,,,10.62,21.22,1.25,4.97,0,0,0,0.00,8.27,−1.28,−2.96,0.02,−0.38,4.29,5.53,11.95,7.05,0.77,1.15,21.58,3.19 ,Large Value,,,,,3,4,−0.68,0.70,81.51,10.46,0.21
MLC MKUT/MKIS - Australian Share Fund,67,MLC0015AU,,,,,,Equity Australia Large Blend,,No,,,,,,,,,,,,,−0.65,−6.52,−2.68,−4.01,4.46,4.93,10.75,6.51,1.55,1.57,16.58,37.77 ,,,,,,3,2,−1.83,0.90,93.64,12.54,0.15
MLC MKUT/MKIS - Cash Fund,60,MLC0011AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,0.00,0.01,0.02,0.01,0.02,0.01,0.01,,0.80,0.80,,126.46 ,,,,,,,,−0.30,2.38,29.58,0.00,−2.33
MLC MKUT/MKIS - Global Share Fund,66,MLC0017AU,,,,,,Equity World Large Blend,,No,,,,,,,,,,,,,−1.10,−7.02,1.00,−3.70,9.82,12.14,12.25,9.61,1.69,1.69,2.50,55.72 ,,,,,,3,2,−0.23,0.76,81.17,9.91,0.84
MLC MKUT/MKIS - IncomeBuilder,3893,MLC0097AU,,,,,4,Australia Equity Income,No,No,,,,9.97,15.01,9.05,5.52,0,0,0.96,0.00,3.13,1.92,−2.81,−0.06,0.42,7.28,5.88,12.62,4.57,1.49,1.49,16.58,337.73 ,Large Value,,,,,3,3,−0.71,0.82,89.68,11.71,0.23
MLC MKUT/MKIS - MLC Australian Share Index Fund,68,MLC0014AU,Neutral,100.00,100.00,2025-03-31,3,Equity Australia Large Blend,No,No,,,,9.93,19.52,0.71,7.73,0,0,2.36,0.00,9.03,3.53,−3.88,−0.27,0.28,7.26,5.70,10.67,6.20,0.99,0.99,,561.13 ,Large Blend,,,,,2,3,−1.35,0.98,99.79,13.25,0.20
MLC MKUT/MKIS - MLC - Platinum Global Fd,3196,MLC0060AU,Neutral,100.00,100.00,2025-04-09,1,Equity World Large Blend,No,No,,,,10.71,,0.88,14.8,0,0,0,0.00,,−3.10,−5.19,−3.54,−2.78,−2.83,6.40,6.93,5.62,1.82,1.82,0.17,,Large Blend,,,,,1,2,−1.25,0.37,24.17,8.76,0.33
MLC MKUT/MKIS - Proprety Securities Fund,69,MLC0013AU,,,,,5,Equity Australia Real Estate,Yes,No,,,,7.35,0.00,0,0,0,0,0,0.00,0.00,6.24,−4.07,−3.23,−0.02,9.74,5.32,11.82,6.83,1.42,1.42,12.75,4.77 ,Large Growth,,,,,4,2,0.10,0.95,99.75,22.23,0.18
MLC MultiActive Australian Shares,16293,IOF0092AU,,,,,,Equity Australia Large Blend,,No,,,,,,,,,,,,,1.94,−6.40,−1.56,−2.47,5.83,3.74,9.86,7.39,0.73,1.05,,540.06 ,,,,,,3,2,−3.02,0.90,96.32,12.48,0.06
MLC MultiActive Global Shares,16294,IOF0098AU,,,,,,Equity World Large Blend,,No,,,,,,,,,,,,,−1.63,−6.22,2.57,−3.44,11.08,12.75,11.95,10.22,0.85,0.85,,350.87 ,,,,,,3,1,−0.63,0.85,94.56,10.24,0.87
MLC MySuper Cash Portfolio,43291,NUL9928AU,,,,,,Australian Cash,,No,,,,6.83,0.00,0,0,0,0,0,0.00,0.00,0.22,0.76,1.62,1.07,3.43,2.81,1.47,,0.46,0.93,,,,,,,,,,−0.71,1.04,17.90,0.38,−4.31
MLC PersSuper-MIF Australian Shares DEF,3531,NFS0110AU,,,,,,Equity Australia Large Blend,,No,,,,,,,,,,,,,−0.65,−6.02,−2.67,−3.79,3.81,4.92,11.08,6.48,,,,20.43 ,,,,,,2,4,−1.60,0.80,92.76,11.28,0.15
MLC Super and Rollover Bond-MIF Australian Shares,3521,NFS0036AU,,,,,,Equity Australia Large Blend,,No,,,,,,,,,,,,,−0.58,−5.84,−2.28,−3.53,4.64,5.76,11.96,7.33,,,,20.43 ,,,,,,3,4,−0.80,0.80,92.72,11.28,0.22
MLC Super Rollover Portfolio-MIF Australian Equities,2583,NFS0433AU,,,,,,Equity Australia Large Blend,,No,,,,,,,,,,,,,−0.58,−5.84,−2.28,−3.53,4.64,5.76,11.96,7.33,,,,20.43 ,,,,,,3,4,−0.80,0.80,92.72,11.28,0.22
MLC Superannuation Bond-MIF Aust Shares EF/DEF,9326,NFS0309AU,,,,,,Equity Australia Large Blend,,No,,,,,,,,,,,,,−0.68,−6.12,−2.86,−3.92,26.76,11.83,15.24,8.24,,,,20.43 ,,,,,,4,5,5.82,0.72,33.87,16.66,0.53
MLC Wholesale Australian Share Fund,4777,MLC0262AU,,,,,,Equity Australia Large Blend,,No,,,,,,,,,,,,,−0.58,−6.32,−2.28,−3.74,5.35,5.81,11.70,7.63,0.73,0.75,16.58,37.77 ,,,,,,4,3,−0.99,0.90,93.62,12.53,0.22
MLC Wholesale Australian Share Index Fnd,19307,MLC0893AU,Bronze,90.00,94.00,2025-03-31,,Equity Australia Large Blend,,No,,,,8.80,26.75,0.19,2.22,0.02,0,0.33,0.01,0.51,3.57,−3.71,0.97,0.51,8.98,6.77,11.63,7.23,0.27,0.27,,,Mid Blend,,,,,3,3,−0.34,0.98,99.97,13.27,0.28
MLC Wholesale Global Share Fund,4776,MLC0261AU,,,,,,Equity World Large Blend,,No,,,,,,,,,,,,,−1.04,−6.86,1.39,−3.47,10.73,13.11,13.22,10.73,0.85,0.85,2.50,55.72 ,,,,,,3,2,0.64,0.76,81.18,9.91,0.93
MLC Wholesale IncomeBuilder,4779,MLC0264AU,,,,,4,Australia Equity Income,No,No,,,,9.97,15.01,9.05,5.52,0,0,0.96,0.00,3.13,1.98,−2.62,1.15,0.68,8.99,7.05,13.70,5.71,0.72,0.72,16.58,337.73 ,Large Value,,,,,4,3,0.40,0.82,89.69,11.70,0.32
MLC Wholesale Property Securities Fund,4778,MLC0263AU,,,,,5,Equity Australia Real Estate,Yes,No,,,,7.35,0.00,0,0,0,0,0,0.00,0.00,6.30,−3.90,−2.86,0.24,10.61,6.16,12.74,7.91,0.62,0.62,12.75,4.77 ,Large Growth,,,,,5,2,0.91,0.95,99.75,22.27,0.21
Montaka Global Long Only Fund,40935,FHT0036AU,,,,,2,Equity World Large Growth,Yes,No,,,,5.40,2.64,2.45,0.32,0,0,2.69,0.00,0.00,−1.33,−18.13,−2.87,−13.45,14.04,17.90,11.94,,1.30,1.30,,100.39 ,Large Growth,,,,,3,4,0.16,1.30,61.86,19.32,0.76
Morgan Stanley Global Sustain Fund,43786,ETL9199AU,Neutral,55.00,100.00,2025-03-31,5,Equity World Large Blend,Yes,Yes,,,,2.63,0.00,0,25.08,0,0,0,0.00,0.00,−2.83,−5.74,3.82,−1.33,14.13,11.87,,,1.18,1.18,4.92,140.06 ,Large Blend,,,,,2,3,−1.95,0.91,83.04,11.69,0.71
Morgan Stanley Global Sustain Fund (Hedged),43787,ETL5365AU,Negative,55.00,100.00,2025-03-31,5,Equity World - Currency Hedged,Yes,Yes,,,,2.63,0.00,0,25.08,0,0,0,0.00,0.00,−1.55,−5.31,0.08,−0.23,10.17,6.19,,,1.18,1.18,4.92,140.06 ,Large Blend,,,,,2,3,−2.94,0.94,87.36,14.64,0.23
Morningstar Australian Bonds Fund - Class B,43417,INT0021AU,,,,,4,Bonds - Australia,,No,,,,6.43,1.11,0,0,0,0,0,0.00,0.00,1.66,2.76,4.55,2.92,6.70,2.63,0.22,2.35,0.25,0.25,,433.22 ,,,,,,4,2,−0.19,0.94,99.80,5.34,−0.18
Morningstar Australian Shares Fund - Class A,10605,INT0022AU,,,,,4,Equity Australia Large Blend,No,No,,,,11.74,21.46,0.01,7.51,0,0,0.13,0.00,10.06,2.67,−2.04,0.62,1.10,7.16,7.34,11.21,7.04,0.36,0.36,,385.29 ,Large Value,,,,,3,4,0.32,0.96,92.25,13.54,0.32
Morningstar Australian Shares Fund - Class B,42002,INT0023AU,,,,,4,Equity Australia Large Blend,No,No,,,,11.74,21.46,0.01,7.51,0,0,0.13,0.00,10.06,2.68,−1.99,0.74,1.17,7.35,7.34,11.17,6.55,0.36,0.36,,385.29 ,Large Value,,,,,3,4,0.32,0.96,92.25,13.54,0.32
Morningstar Cash Fund - Class Z,43035,INT0006AU,,,,,,Australian Cash,,No,,,,5.19,0.00,0,0,0,0,0,0.00,0.00,0.37,1.04,2.18,1.41,4.46,3.55,2.16,1.92,0.00,0.00,,250.05 ,,,,,,,,0.01,1.04,55.58,0.34,−1.78
Morningstar Global Opportunities Fund Class A2000/7/7,44650,INT9819AU,,,,,1,Equity World Large Value,No,No,,,,8.76,11.87,3.55,21.5,0,0.07,0,0.10,0.00,−3.53,0.88,8.83,5.63,15.77,17.48,,,0.23,0.23,,896.58 ,Large Value,,,,,5,4,7.37,0.52,24.98,12.22,1.08
